Time,BicepsBrachiiR
21.20279,0.000227436
21.20331,0.000292226
21.20383,0.000331502
21.20435,0.000340566
21.20487,0.000321935
21.20539,0.000283162
21.2059,0.000232471
21.20642,0.000174899
21.20694,0.000113634
21.20746,6.01E-05
21.20798,2.40E-05
21.2085,5.71E-06
21.20902,-2.18E-06
21.20954,-4.20E-06
21.21006,-6.71E-07
21.21058,5.87E-06
21.2111,1.19E-05
21.21162,1.39E-05
21.21214,1.11E-05
21.21265,2.35E-06
21.21317,-4.36E-06
21.21369,1.11E-05
21.21421,6.01E-05
21.21473,0.000122698
21.21525,0.000169696
21.21577,0.000182284
21.21629,0.000160632
21.21681,0.000123873
21.21733,9.05E-05
21.21785,6.56E-05
21.21836,4.65E-05
21.21889,2.80E-05
21.2194,8.56E-06
21.21992,-4.87E-06
21.22044,-3.36E-06
21.22096,1.59E-05
21.22148,4.95E-05
21.222,8.56E-05
21.22252,0.000115312
21.22304,0.000137804
21.22356,0.000150561
21.22408,0.000150057
21.2246,0.00013814
21.22511,0.000117998
21.22564,9.45E-05
21.22615,7.10E-05
21.22667,4.82E-05
21.22719,2.33E-05
21.22771,-4.87E-06
21.22823,-3.42E-05
21.22875,-6.31E-05
21.22927,-9.08E-05
21.22979,-0.000114641
21.23031,-0.000130755
21.23083,-0.000139818
21.23135,-0.000146197
21.23186,-0.000151064
21.23239,-0.000150393
21.2329,-0.000142672
21.23342,-0.000129244
21.23394,-0.000111452
21.23446,-9.42E-05
21.23498,-8.02E-05
21.2355,-7.17E-05
21.23602,-6.93E-05
21.23654,-6.93E-05
21.23706,-6.50E-05
21.23758,-4.97E-05
21.2381,-2.05E-05
21.23862,2.00E-05
21.23914,6.16E-05
21.23965,9.55E-05
21.24017,0.00011783
21.24069,0.000123369
21.24121,0.000107256
21.24173,7.34E-05
21.24225,2.97E-05
21.24277,-1.98E-05
21.24329,-6.85E-05
21.24381,-9.55E-05
21.24433,-7.54E-05
21.24485,-4.87E-06
21.24537,8.76E-05
21.24588,0.000159625
21.2464,0.000185641
21.24692,0.000165835
21.24744,0.000117998
21.24796,6.19E-05
21.24848,1.11E-05
21.249,-2.85E-05
21.24952,-6.16E-05
21.25004,-9.05E-05
21.25056,-0.000114305
21.25108,-0.000130083
21.2516,-0.000133944
21.25212,-0.000124041
21.25263,-0.000103731
21.25315,-7.96E-05
21.25367,-6.04E-05
21.25419,-5.10E-05
21.25471,-4.85E-05
21.25523,-5.09E-05
21.25575,-5.46E-05
21.25627,-5.40E-05
21.25679,-4.85E-05
21.25731,-3.99E-05
21.25783,-2.77E-05
21.25835,-7.72E-06
21.25887,2.10E-05
21.25938,4.88E-05
21.2599,6.48E-05
21.26042,6.36E-05
21.26094,4.92E-05
21.26146,2.84E-05
21.26198,1.24E-05
21.2625,6.88E-06
21.26302,4.87E-06
21.26354,-2.01E-06
21.26406,-1.11E-05
21.26458,-1.70E-05
21.2651,-1.81E-05
21.26562,-1.80E-05
21.26613,-1.71E-05
21.26665,-1.44E-05
